"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Provo-Orem, UT Metro Area","526,810","14,333","7,757","5,915","3,912","4,158","5,536","5,510","1,147","2,847","3,661","4,697","3,474","1,299","1,995","2,549","1,915","1,878","1,010",951,358,13,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancaster, PA Metro Area","519,445","16,403","4,262","2,193","1,658","1,443",723,"1,867","1,148","1,249","1,560","1,655","2,063","1,356",715,0,321,"1,105","1,549",214,165,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Modesto, CA Metro Area","514,453","4,874","5,273","5,960","6,112","5,343",284,"1,933","3,107",0,0,"4,657","3,831","4,471","1,875","2,003",0,0,0,5,0,0,0,"1,627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portland-South Portland-Biddeford, ME Metro Area","514,098","11,552","4,541","3,047","1,961",893,899,310,392,272,447,487,606,977,338,"1,073","2,702",240,165,142,229,120,334,"1,756",306,241,0,87,630,560,"1,161",290,67,0,0,120,0,88,111,131,209,592,0,0,0,355,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durham-Chapel Hill, NC Metro Area","504,357","3,947","4,861","2,931","2,374","2,241","1,567","1,008",943,"1,825","1,394","6,557",985,"2,356",501,145,335,0,184,232,84,102,0,44,125,0,94,0,819,0,244,0,0,61,0,46,0,656,0,52,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","494,593",0,"2,311","1,939","1,941",668,"1,507",940,"1,829","1,756",652,84,637,0,0,463,782,55,"1,453","1,825","2,482","1,792","2,222","2,948","2,030","3,376","3,139","1,502","1,932",0,"1,511","3,176",0,"1,403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Rosa-Petaluma, CA Metro Area","483,878","6,582","6,498","3,605","3,866",307,"1,720","4,904","3,090",0,"1,900",190,0,"3,187","3,780","3,092","2,312",215,"3,012",0,39,17,0,0,7,0,0,0,0,0,89,382,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winston-Salem, NC Metro Area","477,717","2,901","3,610","2,160","1,738","1,803","1,559","1,404",746,"1,121",568,591,205,140,0,400,141,98,115,0,116,0,225,180,193,101,0,52,103,0,0,96,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lexington-Fayette, KY Metro Area","472,099","6,558","5,299","4,182","3,546","4,063","4,109","2,218",46,0,392,43,"1,390","1,362",806,111,243,"1,906",558,566,0,61,0,38,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spokane, WA Metro Area","471,221","4,201","5,748","4,565","5,050","3,356","1,652","1,763","1,976","3,258","2,139","1,676",546,810,"1,511",0,328,0,0,0,0,296,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lansing-East Lansing, MI Metro Area","464,036","4,372","5,000","3,424","11,201","6,452","1,748","1,550",883,457,"1,911",867,421,300,415,65,314,495,760,422,587,117,0,63,58,75,63,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fayetteville-Springdale-Rogers, AR-MO Metro Area","463,204","5,624","2,104","2,285","1,290",871,218,749,"3,128","2,033","1,676",0,161,724,338,0,400,"1,558",616,"1,268","1,428",886,"1,387",960,469,118,88,226,733,131,573,187,10,0,0,0,0,0,25,61,0,0,0,70,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pensacola-Ferry Pass-Brent, FL Metro Area","448,991","1,743","2,795","2,898","2,759","2,252","2,175","2,259","2,129","1,114","1,517",788,"1,457",351,629,813,409,0,698,819,224,531,0,"1,174",107,33,0,0,0,0,24,0,33,0,0,20,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visalia-Porterville, CA Metro Area","442,179","7,300","3,353","3,004","3,181",413,"1,692",0,"2,236","2,541","5,001","1,307",170,"2,769",584,"2,653","3,374","3,644",137,32,0,0,"4,305","3,288","2,803","4,557",121,"1,139",0,0,0,50,"1,855",3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Springfield, MO Metro Area","436,712","3,230","5,013","2,361","2,235","2,076","1,910","1,249","1,324",117,0,318,924,654,695,590,123,227,64,58,45,0,77,0,119,53,32,0,0,30,61,0,58,0,0,0,47,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"York-Hanover, PA Metro Area","434,972","13,158","5,081","1,312","1,855","1,654","1,318","1,500","1,406",244,387,181,472,216,317,586,512,894,"4,350",739,493,124,73,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corpus Christi, TX Metro Area","428,185","2,634","5,221","6,487","5,541","4,231","4,559","4,350","5,209","3,793","1,418","1,679","1,194","1,355","1,558",740,776,912,603,20,0,404,107,31,0,0,"1,536","1,019",0,806,30,0,0,21,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flint, MI Metro Area","425,790","3,002","3,502","3,896","2,714","2,470","1,274",950,"1,220","1,308",637,276,811,249,354,"1,508","1,119",324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reno-Sparks, NV Metro Area","425,417","6,229","6,037","6,521","4,510","4,311","2,978","2,606","1,440","2,191","1,877",490,241,0,126,548,46,0,0,0,156,"1,642",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asheville, NC Metro Area","424,858","3,162","2,134","2,040","1,066","1,149",490,739,490,338,586,369,678,203,149,552,374,236,955,414,840,314,655,488,259,218,427,581,150,184,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Port St. Lucie, FL Metro Area","424,107","2,747","2,107","2,650","2,599","1,581","1,034","1,615","2,186","2,065","2,627","1,470","1,991","3,269","1,016","1,330",50,"1,302","3,294","1,027",323,0,0,0,49,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Barbara-Santa Maria-Goleta, CA Metro Area","423,895","12,754","7,222","2,534","4,063","2,445","4,533","4,329","2,759","1,186","20,523","4,673","1,066",0,28,0,0,0,0,0,0,0,0,0,0,56,0,0,26,636,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,17,"6,064","8,048","2,769",563,356,0,"3,272","3,277","3,842","1,878","7,268","12,373","7,429",0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huntsville, AL Metro Area","417,593","1,802","2,639","2,470","2,703","1,249","1,135","1,064",927,"1,702",813,"1,468",887,85,106,239,280,160,0,134,0,0,376,390,"1,241",241,75,201,0,0,0,0,99,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fort Wayne, IN Metro Area","416,257","3,798","4,822","3,307","3,220","2,231","1,733","1,847","1,349",621,500,236,42,183,0,106,107,78,53,338,0,0,0,230,656,808,60,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salinas, CA Metro Area","415,057","8,261","7,781","14,025","11,837",518,348,787,"4,351","2,344",402,"9,788","8,914","1,630","1,173","3,070","4,181","1,251","1,349",0,0,"7,182",0,0,0,250,28,0,0,7,0,0,0,0,"6,149",0,0,0,0,0,0,0,0,0,"2,852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vallejo-Fairfield, CA Metro Area","413,344","7,269","5,476","5,735","5,200","1,695","2,419","3,924",217,474,0,245,0,0,266,900,"6,626","6,755","6,502","4,472",565,0,"3,661","4,283","7,158","3,669","2,722",50,220,0,0,38,0,"1,122","3,601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mobile, AL Metro Area","412,992","1,897","3,607","3,748","3,416","2,756","2,156","2,162","2,016","2,209","2,484","1,417",936,971,641,637,260,316,97,176,282,72,0,127,87,0,88,0,44,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reading, PA Metro Area","411,442","20,595","10,192","2,624","3,136","2,072","1,248",347,974,471,"1,522",512,176,319,120,918,"3,705",178,329,0,195,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brownsville-Harlingen, TX Metro Area","406,220","7,433","5,247","5,143","5,296","4,733","1,942",650,0,291,479,0,878,0,353,0,155,208,"2,196",221,"2,179",0,"2,539","1,723","2,183","2,088","1,092","1,124",234,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killeen-Temple-Fort Hood, TX Metro Area","405,300","4,617","3,410","3,759","3,140","2,726","2,353",774,14,71,"1,647","2,160","1,707",167,139,0,838,583,88,226,0,"1,466","2,751","1,134","1,146","1,222",0,346,228,0,33,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canton-Massillon, OH Metro Area","404,422","5,298","4,776","3,784","1,965","1,731","1,891","1,464","2,050",964,"2,440",576,980,691,172,266,"1,325","2,451",0,0,0,0,155,0,0,45,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manchester-Nashua, NH Metro Area","400,721","11,838","5,482","2,427",966,920,388,578,868,780,0,385,499,316,757,"1,273","4,282","4,569",953,"1,865","3,236",254,0,58,307,120,121,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shreveport-Bossier City, LA Metro Area","398,604",855,"3,767","3,085","3,240","1,829","2,699","1,209","1,645",887,"1,235",236,153,198,144,60,0,0,60,0,53,0,0,0,17,34,0,0,0,218,0,0,19,113,165,34,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salem, OR Metro Area","390,738","2,673","4,353","4,745","4,631","3,565","3,757","1,997",108,56,0,852,0,292,"1,082",158,929,"3,723","1,386",30,0,0,177,125,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaumont-Port Arthur, TX Metro Area","388,745",932,"3,500","2,633","3,059","2,072","2,421","1,525","1,070",164,"3,038","1,838","2,346",578,"1,633","1,796","1,936","3,007",340,101,403,497,732,333,0,234,44,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anchorage, AK Metro Area","380,821","5,118","4,464","4,713","6,184","4,798","4,391","5,252","1,179","1,982",959,158,0,0,"2,077",0,17,0,81,0,0,17,34,0,219,0,0,117,163,258,"1,080",936,445,342,228,444,0,618,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davenport-Moline-Rock Island, IA-IL Metro Area","379,690","4,697","4,790","3,873","2,857","2,492","2,255","2,459","2,070",815,250,652,63,455,47,48,53,41,95,0,0,0,0,286,40,115,0,20,0,0,15,0,0,13,0,0,0,0,163,"2,389",275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peoria, IL Metro Area","379,186","3,199","4,755","4,469","1,760","1,723","1,505",288,809,"1,299","2,721","1,170",313,78,170,63,0,371,43,0,31,46,0,38,0,36,0,17,0,0,50,25,267,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montgomery, AL Metro Area","374,536","1,935","3,616","2,283","2,242","2,653","3,154","1,968",974,"1,007","1,490","1,588",707,362,78,112,135,150,23,0,0,0,50,44,52,0,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tallahassee, FL Metro Area","367,413","7,066","5,035","3,976","2,495","1,319","1,288","1,196",921,"1,156",102,"1,320",103,83,87,96,101,54,0,0,181,169,107,0,0,86,59,17,0,23,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trenton-Ewing, NJ Metro Area","366,513","19,241","13,585","3,890","2,957","2,290","2,030",747,"1,352",611,"1,275","5,243","1,419","2,134",0,"5,815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fayetteville, NC Metro Area","366,383","1,411","1,718","2,303","1,006","2,285","2,727","2,738","2,361",770,"1,641","1,026",235,489,39,565,0,0,83,0,867,0,0,84,0,60,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hickory-Lenoir-Morganton, NC Metro Area","365,497","1,866","2,025","1,622",891,808,439,481,638,584,225,188,390,383,516,333,387,332,"1,030",886,204,485,205,270,0,194,0,246,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilmington, NC Metro Area","362,315","3,183","4,166","2,478","2,289","2,396","1,394","1,535","1,126","1,020",711,"1,083",79,0,"1,442","1,112",187,443,0,0,81,487,296,181,353,505,586,244,10,216,155,204,0,289,0,628,0,59,109,581,0,364,311,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evansville, IN-KY Metro Area","358,676","3,974","4,808","3,433","2,880","2,122","1,218",525,"1,091","1,952","1,270","1,381",615,58,0,0,48,364,271,972,26,29,0,32,0,0,53,"1,238",38,0,0,32,29,0,0,0,0,0,36,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eugene-Springfield, OR Metro Area","351,715","10,105","4,707","4,084","2,966","3,594","2,659",79,"3,894",565,634,114,0,181,268,5,58,13,0,189,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,"1,069","1,217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rockford, IL Metro Area","349,431","5,760","4,800","3,673","2,814","1,967","2,231","1,151",130,"1,179",0,303,582,"1,689","1,256",951,421,53,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Savannah, GA Metro Area","347,611","6,000","6,051","4,580","3,192","1,534",975,"2,806","2,323","1,624",461,436,189,189,0,197,313,978,0,123,104,73,162,0,97,82,80,0,0,0,55,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ann Arbor, MI Metro Area","344,791","12,028","4,780","2,811","2,492","4,915","1,452","3,672","2,021","1,885","2,197",138,636,198,"2,549",366,0,87,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ocala, FL Metro Area","331,298","1,724","2,081","1,371","1,372",775,943,356,"1,284",884,431,"1,448",735,612,373,82,132,887,86,385,86,129,0,0,0,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kalamazoo-Portage, MI Metro Area","326,589","5,480","4,410","3,151","1,272","1,569","1,306",606,545,419,0,78,260,266,91,236,0,99,201,0,0,91,0,0,0,0,0,87,0,89,0,181,0,0,0,203,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naples-Marco Island, FL Metro Area","321,520","2,585","2,852","2,429","2,993","3,139","2,769","3,051","3,061","3,420","2,338",890,717,937,149,650,"1,230","3,183",0,37,0,0,0,0,0,0,0,0,0,0,"1,209",353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Bend-Mishawaka, IN-MI Metro Area","319,224","3,224","4,178","3,580","3,265","1,909",981,"1,063","1,927",811,0,342,256,87,90,353,0,0,115,137,98,0,0,56,74,137,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingsport-Bristol-Bristol, TN-VA Metro Area","309,544","1,471","2,223","1,325","1,304",475,596,370,551,0,150,140,0,46,262,263,0,31,377,243,"1,437",826,"1,331","1,284","1,001",0,231,0,320,64,0,33,191,265,105,0,764,0,0,68,200,102,0,169,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roanoke, VA Metro Area","308,707","3,525","3,751","2,271","2,342","1,981","1,406","1,398","2,157",329,211,50,96,90,126,0,61,77,0,66,303,0,33,86,0,0,75,43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Bay, WI Metro Area","306,241","4,168","4,734","3,937","2,636","2,020","1,490",589,0,313,88,0,0,106,173,0,80,53,0,0,0,0,47,58,0,0,32,103,0,563,0,46,0,31,0,0,0,0,0,26,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charleston, WV Metro Area","304,284","3,401","3,907","1,315","1,909","1,087","2,240",160,641,"1,662","1,925",838,325,646,76,42,62,692,62,820,"1,224",341,65,106,277,0,54,0,25,0,0,23,71,0,0,29,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lincoln, NE Metro Area","302,157","9,367","6,382","3,985","4,282","2,705","3,549","1,036",383,0,26,0,32,0,45,0,0,0,0,0,0,25,669,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fort Collins-Loveland, CO Metro Area","299,630","4,430","5,146","4,010","4,253","2,702","2,460",804,834,241,0,"3,501",944,"3,311","1,386","3,010","1,749",3,0,0,518,14,0,0,0,0,0,287,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Utica-Rome, NY Metro Area","299,397","9,265","6,834","2,572","1,340",543,"1,700",159,140,462,"1,144",121,"2,228","1,950","2,181","1,087",92,107,823,"1,329",518,85,41,24,"1,367",0,20,50,89,0,0,0,91,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
