"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Denver-Aurora-Broomfield, CO Metro Area","2,543,482","15,483","9,678","7,181","6,485","6,305","5,290","5,904","5,781","5,459","5,147","4,354","4,248","4,480","4,402","3,551","2,371","2,632","1,958","1,782","1,423","3,378","1,134",543,"2,182",481,513,604,971,160,163,82,29,19,45,0,46,9,0,0,11,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pittsburgh, PA Metro Area","2,356,285","12,658","7,381","9,714","8,171","6,977","5,094","4,156","2,529","2,587","2,455","2,575","2,095","1,235","1,274",900,"2,150","2,150","2,123","1,348","1,109",804,"1,600","1,849","1,212","1,310","2,245","1,185","1,153",632,"1,930",944,"1,252",685,"1,216",298,177,"2,905",916,253,"2,796","1,594",700,744,693,78,160,79,62,0,39,46,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","2,226,009","16,663","8,396","8,028","7,065","5,814","5,406","5,028","5,230","5,504","5,088","4,174","3,741","3,243","4,266","2,321","1,274",800,"2,174",632,"1,031","1,897","1,816",112,200,"1,453",644,88,57,0,60,12,0,"2,188","3,149",28,600,80,0,0,0,67,122,0,56,0,0,32,0,33,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sacramento--Arden-Arcade--Roseville, CA Metro Area","2,149,127","8,403","6,416","5,021","5,641","6,529","4,940","6,869","6,305","4,960","5,643","5,804","5,988","5,420","5,464","5,032","4,886","3,622","4,557","3,334","3,505","2,298","2,549","1,307","2,529","1,335",440,72,"2,153",755,764,533,517,"1,838",466,73,346,591,419,471,331,187,0,0,152,99,0,0,0,0,259,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,28,396,60,"1,370","2,724","1,626","1,304",808,0,0,201
"San Antonio-New Braunfels, TX Metro Area","2,142,508","7,316","5,612","6,283","6,128","4,896","4,715","3,826","3,890","5,376","3,501","4,337","4,010","5,171","3,308","2,289","2,151",980,"1,849","1,695",549,609,150,260,150,125,138,157,893,"1,580",470,598,352,"1,536","1,187",788,99,61,116,40,28,29,0,16,26,267,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orlando-Kissimmee-Sanford, FL Metro Area","2,134,411","5,231","3,571","4,210","4,982","6,087","4,768","3,920","3,677","3,071","2,761","3,393","2,204","2,382","2,147","2,878","3,247","1,519","1,412","1,219","2,005","1,739",292,"1,398","1,540",937,528,984,"1,319",786,"1,120",104,579,574,494,0,"1,015","1,198",0,829,737,149,590,0,"1,518","2,233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cincinnati-Middletown, OH-KY-IN Metro Area","2,130,151","10,611","8,120","5,999","4,388","4,417","4,204","3,493","3,346","2,881","3,010","2,557","1,763","1,784","1,864","1,386","1,592","1,588","1,831","1,717","1,798","1,440","2,064","1,929",505,577,593,958,333,"2,500","1,571","4,469",200,197,"1,837","1,027","1,767",535,155,0,40,49,76,56,92,56,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cleveland-Elyria-Mentor, OH Metro Area","2,077,240","3,585","6,345","6,402","7,882","8,747","7,240","6,530","5,692","5,046","4,180","3,651","3,004","2,977","2,525","2,233","2,465","2,082","2,179","1,259","1,584","1,604","2,711","3,334","1,933","1,730","2,025","2,752","2,820",835,539,557,618,880,330,454,230,480,277,610,"1,155",0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kansas City, MO-KS Metro Area","2,035,334","4,327","4,102","5,810","5,163","3,970","3,094","2,981","2,871","3,032","2,348","2,988","2,315","2,254","2,377","1,876","2,599","2,550","2,538","2,127","2,265","1,423",665,237,"1,268","1,316",520,"1,122","1,294",97,55,70,55,188,931,206,64,31,0,0,364,44,32,0,21,32,0,115,206,30,207,"1,101",309,19,19,14,16,13,0,0,394,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Las Vegas-Paradise, NV Metro Area","1,951,269","8,677","7,868","8,094","9,067","9,070","8,350","6,987","5,694","5,725","6,098","5,152","6,078","4,749","3,719","4,607","3,643","1,952",0,0,0,0,"2,191","1,352",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,6,"1,524",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"1,413","1,109","3,717",519,"2,122",0,"1,939",0,0,0,0,0,0,0,0,0,0,0,0,0
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,836,911","18,153","10,585","11,067","9,862","10,175","9,216","8,630","7,641","6,926","5,662","5,232","7,453","10,060","4,943","7,875","5,345","7,633","5,344","2,427","2,845","1,645","3,003",0,170,300,0,"1,470","7,701","5,146","1,298",0,0,0,0,0,0,0,0,91,0,33,0,"3,520","4,381","5,540",0,921,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
